date,ticker,dividend_per_share,source,nse_subject
2020-01-23,TCS,5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 5 Per Share
2020-03-03,BAJFINANCE,10,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=BAJFINANCE&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 10 Per Share
2020-03-19,TCS,12,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 12 Per Share
2020-03-23,ADANIENT,1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ADANIENT&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Re 1 Per Share
2020-05-29,INFY,9.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 9.50 Per Share
2020-06-03,TCS,6,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 6 Per Share
2020-07-02,RELIANCE,6.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=RELIANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 6.50  Per Share
2020-07-16,TCS,5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs    5 Per Share
2020-08-06,BHARTIARTL,2,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=BHARTIARTL&type=4&vmode=vm,Final dividend - Rs 2 per share
2020-10-14,TCS,12,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 12 Per Share
2020-10-23,INFY,12,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 12 Per Share
2021-01-14,TCS,6,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 6 Per Share
2021-05-25,TCS,15,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 15 Per Share
2021-05-31,INFY,15,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Annual General Meeting/Dividend - Rs 15 Per Share
2021-06-03,SBIN,4,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=SBIN&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 4 Per Share
2021-06-11,RELIANCE,7,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=RELIANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 7 Per Share
2021-07-01,ADANIENT,1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ADANIENT&from_date=01-01-2020&to_date=30-06-2026,Dividend - Re 1 Per Share
2021-07-08,BAJFINANCE,10,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=BAJFINANCE&from_date=01-01-2020&to_date=30-06-2026,Annual General Meeting/Dividend - Rs 10 Per Share
2021-07-15,TCS,7,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 7 Per Share
2021-07-29,ICICIBANK,2,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ICICIBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 2 Per Share
2021-08-11,KOTAKBANK,0.9,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=KOTAKBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 0.90 Per Share
2021-08-17,INDUSINDBK,5,https://www.moneycontrol.com/company-facts/indusindbank/dividends/IIB/,Final dividend - Rs 5 per share
2021-10-14,TCS,7,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 7 Per Share
2021-10-26,INFY,15,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 15 Per Sh
2022-01-19,TCS,7,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend - Rs 7 Per Share
2022-05-25,SBIN,7.1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=SBIN&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 7.10 Per Share
2022-05-25,TCS,22,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 22 Per Share
2022-05-31,INFY,16,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=INFY&from_date=01-01-2020&to_date=30-06-2026,Annual General Meeting/Dividend - Rs 16 Per Share
2022-06-30,BAJFINANCE,20,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=BAJFINANCE&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 20 Per Share
2022-07-07,AXISBANK,1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=AXISBANK&from_date=01-01-2020&to_date=30-06-2026,Dividend - Rs 1 Per Share
2022-07-14,ADANIENT,1,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=ADANIENT&from_date=01-01-2020&to_date=30-06-2026,Dividend - Re 1 Per Share
2022-07-14,TCS,8,https://www.nseindia.com/api/corporates-corporateActions?index=equities&symbol=TCS&from_date=01-01-2020&to_date=30-06-2026,Interim Dividend- Rs 8 Per Share
2022-08-01,BHARTIARTL,3,https://www.msei.in/corporates/corporate-securities-information/corporate-update/default?symbol=BHARTIARTL&type=4&vmode=vm,Final dividend - Rs 3 per share
